GRUPO,ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),Sodio (mg),Azúcares por equivalente (g),Indica glicémico (g),Carga glicémica
AZUCARES CON GRASA,Aderezo blue cheese bajo en calorias,4,cucharada,60,60,86,1.7,15.0,10.4,582.9,5.1,ND,ND
AZUCARES CON GRASA,Aderezo de miel,4,cucharada,64,64,70,2.5,2.4,10.7,526.7,7.7,ND,ND
AZUCARES CON GRASA,Aderezo de miel y mostaza bajo calorias,3,cucharada,45,45,64,1.3,1.8,14.1,424.3,6.4,ND,ND
AZUCARES CON GRASA,Aderezo fránces bajo en calorías,4,cucharada,60,60,79,0.0,3.4,13.1,472.5,ND,ND,ND
AZUCARES CON GRASA,Aderezo mil islas bajo en calorías,4,cucharada,60,60,96,0.4,6.4,9.6,600.0,ND,ND,ND
AZUCARES CON GRASA,Aderezo ranch bajo en calorías,3,cucharada,45,45,64,1.3,2.8,14.1,398.6,2.6,ND,ND
AZUCARES CON GRASA,Aderezo ruso bajo en calorías,3,cucharada,45,45,65,0.3,1.7,12.4,390.9,ND,ND,ND
AZUCARES CON GRASA,Aderezo tipo cesar bajo en   calorías,3,cucharada,45,45,87,1.5,7.3,2.9,812.9,2.9,ND,ND
AZUCARES CON GRASA,Almendra con chocolate,15,g,15,15,77,1.4,5.6,6.6,1.4,4.0,ND,ND
AZUCARES CON GRASA,Almond joy,1/3,pieza,16,16,80,4.3,4.3,9.4,23.8,7.4,ND,ND
AZUCARES CON GRASA,Almond joy miniatura,1,pieza,20,20,98,5.3,5.3,11.7,29.4,9.1,ND,ND
AZUCARES CON GRASA,Cacahuate confitado (chocolate),4,pieza,16,16,83,2.1,5.4,8.0,6.6,6.0,33.0,2.6
AZUCARES CON GRASA,Carlos V,1/2,pieza,11,11,56,0.4,2.8,7.4,16.5,6.6,ND,ND
AZUCARES CON GRASA,Chispas de chocolate hershey,5,cucharadita,17,17,89,0.8,4.8,10.7,2.2,8.7,43.0,4.6
AZUCARES CON GRASA,Chispas de chocolate     ,5,cucharadita,18,18,94,1.3,5.2,10.4,13.8,8.9,43.0,4.5
AZUCARES CON GRASA,Chocolate amargo,1/3,pieza,14,14,70,0.7,4.4,8.0,0.5,6.3,43,3.5
AZUCARES CON GRASA,Chocolate blanco,15,g,15,15,81,0.9,4.8,8.9,13.5,8.9,44.0,3.9
AZUCARES CON GRASA,Chocolate blanco son azúcar,19,g,19,19,90,1.7,6.7,9.9,0.0,ND,35.0,3.5
AZUCARES CON GRASA,Chocolate con arroz tostado,1/3,barra,13,13,70,1.0,3.9,7.9,11.4,6.7,ND,ND
AZUCARES CON GRASA,Chocolate con almendras,1/3,barra,15,15,77,1.3,5.0,7.8,10.9,6.4,ND,ND
AZUCARES CON GRASA,Chocolate con azúcar,15,g,15,15,70,0.6,2.5,11.3,5.0,ND,43.0,4.8
AZUCARES CON GRASA,Chocolate con galleta y caramelo,1/2,barra,15,15,75,0.7,3.7,9.7,29.7,7.2,44.0,4.3
AZUCARES CON GRASA,Chocolate con leche,15,g,15,15,64,1.4,1.6,11.1,57.3,ND,43.0,4.8
AZUCARES CON GRASA,Chocolate con leche con menos del 10% proteinas,14,g,14,14,60,1.3,1.5,10.3,53.5,ND,ND,ND
AZUCARES CON GRASA,Chocolate con leche y almendras sin azúcar,15,g,15,15,86,1.5,6.3,6.0,24.5,5.3,ND,ND
AZUCARES CON GRASA,Chocolate con nugar,1/3,pieza,19,19,87,0.8,3.3,13.6,32.3,11.5,ND,ND
AZUCARES CON GRASA,Chocolate con nugar y cacahuate,1/3,pieza,19,19,90,1.4,4.5,11.5,46.7,9.6,41.0,47.0
AZUCARES CON GRASA,Chocolate de coco y almendras,1/3,pieza,16,16,78,0.7,4.4,9.7,23.2,7.9,ND,ND
AZUCARES CON GRASA,Chocolate de leche,2/3,pieza,17,17,88,1.3,4.9,9.8,13.0,8.4,43.0,4.2
AZUCARES CON GRASA,Chocolate de menta,2,pieza,17,17,68,0.3,2.0,12.8,0.2,11.2,ND,ND
AZUCARES CON GRASA,Chocolate en polvo con más del 10% proteínas,15,g,15,15,60,1.9,1.0,11.0,14.1,ND,ND,ND
AZUCARES CON GRASA,Chocolate en polvo con menos del 10% proteinas,12,g,12,12,48,0.9,0.4,10.1,45.8,ND,ND,ND
AZUCARES CON GRASA,Chocolate en polvo DICONSA,25,g,25,25,94,15,1.1,6.0,162.5,5.4,54.0,3.2
AZUCARES CON GRASA,Chocolate en polvo sin azúcares,3,cucharadita,15,15,60,3.0,1.5,9.0,ND,ND,ND,ND
AZUCARES CON GRASA,Chocolate fundido,3/4,cucharada,14,14,59,0.3,1.5,10.9,6.4,10.4,43.0,4.7
AZUCARES CON GRASA,Chocolate rallado,5,cucharadita,17,17,87,0.9,5.4,9.9,0.7,7.7,43.0,4.3
AZUCARES CON GRASA,Chocolate semi amargo,17,g,17,17,81,0.7,5.1,10.7,1.9,9.3,43.0,4.6
AZUCARES CON GRASA,Chocolate sin azúcar,15,g,15,15,85,2.1,5.8,6.1,0.5,ND,35.0,2.1
AZUCARES CON GRASA,Cocada,3/4,pieza,21,21,92,5.3,5.3,12.8,30.0,6.0,ND,ND
AZUCARES CON GRASA,Crema en polvo para café,9,cucharadita,18,18,98,0.9,6.4,9.9,32.6,9.9,ND,ND
AZUCARES CON GRASA,Flan casero,1/5,taza,61,61,89,2.8,2.5,13.9,32.4,14.2,65.0,ND
AZUCARES CON GRASA,Flan de caja preparado con leche descremada,1/5,taza,61,61,63,1.8,1.1,11.5,69.2,ND,ND,9.0
AZUCARES CON GRASA,Flan de caja preparado con leche entera,1/5,taza,61,61,69,1.8,1.8,11.4,68.5,ND,ND,ND
AZUCARES CON GRASA,herchey´s creme´n ´arandano,1/4,pieza,11,11,57,3.1,3.1,6.2,13.7,5.2,ND,ND
AZUCARES CON GRASA,Jarabe de coco,5,cucharada,85,85,83,0.4,3.9,6.5,0.0,ND,ND,ND
AZUCARES CON GRASA,Kinder delice,1/3,paquete,21,21,95,5.9,5.9,9,20.0,7.4,ND,ND
AZUCARES CON GRASA,Kranky,1/3,paquete,15,15,67,2.2,2.2,11,27.0,6.6,ND,ND
AZUCARES CON GRASA,Lunetas,1/3,paquete (50),16,16,79,0.7,3.4,11.4,9.7,10.1,33.0,3.8
AZUCARES CON GRASA,Malvavisco con chocolate,1/2,pieza,14,14,59,0.6,2.4,9.5,23.5,6.3,ND,ND
AZUCARES CON GRASA,Mayonesa baja en grasa,2,cucharada,28,28,93,0.0,1.9,9.5,149.0,9.5,ND,ND
AZUCARES CON GRASA,Mayonesa light,2,cucharada,28,28,93,0.0,1.9,9.5,149.0,9.5,ND,ND
AZUCARES CON GRASA,Mazapan,3/4,pieza,19,19,85,3.8,3.8,11.3,0.0,9.8,ND,ND
AZUCARES CON GRASA,Menta cubierta con chocolate,1 1/2,pieza,14,14,55,0.2,1.5,10.9,24.5,ND,ND,ND
AZUCARES CON GRASA,Mole,3,cucharada,48,48,79,1.7,5.3,6.2,64.3,ND,ND,ND
AZUCARES CON GRASA,Mole de pepita,1,cucharada,16,16,82,0.9,5.0,8.2,406.8,ND,ND,ND
AZUCARES CON GRASA,Mole poblano,1,cucharada,16,16,91,1.2,6.7,6.7,186.2,ND,ND,ND
AZUCARES CON GRASA,Mole poblano en pasta,1,cucharada,16,16,91,1.2,6.7,6.7,186.2,ND,ND,ND
AZUCARES CON GRASA,Mole poblano preparado,3,cucharada,48,48,79,1.7,5.3,6.2,64.3,ND,ND,ND
AZUCARES CON GRASA,Mousse de chocolate,1/4,taza,50,50,71,1.0,2.3,11.5,76.0,8.6,ND,ND
AZUCARES CON GRASA,Palanqueta de cacahuate,1/3,pieza,15,15,78,2.3,5.0,7.0,23.2,6.3,ND,ND
AZUCARES CON GRASA,Paleta helada de café con cubierta de chocolate y almendras,1/5,pieza,21,21,74,1.0,5.3,5.5,ND,5.3,37.0,2.0
AZUCARES CON GRASA,Paleta helada de chocolate cubierta con chocolate,1/5,pieza,21,21,72,1.0,4.9,5.9,10.8,ND,37.0,2.2
AZUCARES CON GRASA,Paleta helada de crema con café cubierta de chocolate y almendras,1/5,pieza,21,21,74,1.0,5.3,5.5,ND,5.3,ND,ND
AZUCARES CON GRASA,Paleta helada de vainilla cubierta con chocolate,1/4,pieza,24,24,83,1.1,5.7,6.9,13.5,ND,38.0,2.6
AZUCARES CON GRASA,Paleta helada de vainilla cubierta con chocolate y almendras,1/4,pieza,23,23,80,1.0,5.8,5.8,11.8,ND,ND,ND
AZUCARES CON GRASA,Pipián,15,g,15,15,77,0.9,4.7,7.7,381.4,ND,ND,ND
AZUCARES CON GRASA,Rompope sin alcohol,1/4,taza,64,64,86,2.4,4.8,8.6,34.5,5.3,ND,ND
AZUCARES CON GRASA,Salsa de cebollin,25,g,25,25,63,0.3,4.7,3.3,24.1,2.7,ND,ND
AZUCARES CON GRASA,Salsa de epazote,40,g,40,40,82,1.3,6.2,4.7,178.5,1.4,ND,ND